name,note,dastgah
Khnoeye madarbozorge, C C G G C S C G G S F G Ab F G G S G, -
Baroon baroone, E E E E E E D E S D E E S E E E E E E D E S D E E, mahoor
Ghoghaye setaregan, G Ab Bb Ab S Bb C S Ab G S G Ab Bb Ab S Bb C S Ab G S, shoor
Simin bari, D S Bb Bb Bb A A G G F F A S D Bb Bb Bb A A G G F F A, shoor
Chahrpare, G C C C C C B C B C D, mahoor
Jane Maryam, G A Bb C D D E D D D E D, shoor
Saboohi, G C C Bb C C C Bb C C C D C Bb S, shoor
Mehri mehri, C C D E E C C D E E S C C C C G S A A A A E S E E D E C, mahoor
Nazo kereshme, C D Bb A A G A A Bb Bb C D Bb A A G A A, shoor
Saye chaman, D D D F F Eb D C D D D F F Eb D C S D C Bb C D S D C Bb G G,shoor
Kuchalara, F E D E F F D E F E D E F F D E S, -
Paye lang, G G D D G G D D S D Eb D C Bb C C G G D D, -
Molla mammad jan, A B A B G G A B A A G G F, shoor
Raftam ke raftam, D D E E F G F F E E F G D D Bb Bb G F G G F F E D, homayon
Porsoon porsoon, G G G Bb G G G Bb D A Bb A Bb A G Bb G, shoor
Morgeh sahar, G C C C C A B B C C S S G C C C C A B B C C, mahoor
Che shavad, F G G G A Bb C Bb D Bb Bb Bb A Bb S, shoor
Daye daye, C E G G G F G F G F G E C E G G G F G F G F G E D E F, mahoor
Madar, C C A B B G A A F G D D F E E G F F A G, mahoor
Renge mahoor, C C B C D C B A C B S B B A B C B A G B A S, mahoor
